question,correct,false
What is marketing?,The process of creating communicating and delivering offerings,"['Simply advertising products or services to consumers.', 'Exclusively focusing on sales transactions.', 'Only conducting market research to understand consumer needs.']"
What is a market?,Customers with needs willing to buy,"['A place where goods are sold.', 'A system for exchanging goods and services.', 'A group of businesses competing.']"
What are trends in marketing?,data collection customer relations cause marketing social media,"['Data collection', 'Customer relations', 'Cause marketing', 'Social media', 'All of the above']"
How can one be successful in marketing?,identify and anticipate market needs,"['Consistent branding and messaging.', 'Strong sales team and distribution network.', 'Utilizing the latest technological advancements.', 'Aggressive pricing strategies.']"
What are the benefits of customer relations management?,To retain loyal customers,"['Increased sales', 'Improved customer satisfaction', 'Streamlined operations', 'Better market understanding']"
What is Cause Marketing?,Incorporating CSR into marketing,"['A marketing strategy focusing solely on profit maximization.', 'A method of marketing that ignores ethical considerations.', 'A form of advertising that solely promotes charitable donations.']"
What is the benefit of Social Media marketing?,Increased likelihood a business with survive after 5 years,"['Increased brand awareness', 'Improved customer engagement', 'Cost-effective advertising', 'All of the above']"
What is the purpose of market research?,"To understand customer preferences, the business environment, and align the company with customer needs","['To increase sales immediately.', 'To develop a new product line regardless of market demand.', 'To solely focus on competitor analysis.']"
What is the difference between primary and secondary research?,"Secondary research uses existing data, primary research is conducted by the firm","['Primary research is cheaper; secondary research is more expensive.', 'Primary research uses existing data; secondary research is conducted by the firm.', 'Secondary research uses existing data; primary research is conducted by the firm.', 'Primary research is faster; secondary research is slower.', 'There is no significant difference between the two.']"
What is secondary research useful for?,Tracking trends and understanding the business environment,"['Developing new products or services.', 'Conducting in-depth interviews.', 'Gathering primary data directly from customers.']"
What is primary research used for?,Understand customers and their reaction to your product,"['To analyze existing market data.', 'To replicate previous research findings.', 'To review competitor strategies.']"
What is the disadvantage of primary research?,More expensive,"['Less timely', 'Uses existing data', 'Less specific']"
What is the difference between B2C and B2B markets?,B2C sells to consumers while B2B sells to businesses,"['B2C focuses on long-term relationships; B2B focuses on short-term transactions.', 'B2C uses complex marketing strategies; B2B uses simple marketing strategies.', 'B2C involves higher transaction values; B2B involves lower transaction values.']"
What are some characteristics of B2C markets?,less people involved more emotional small purchases,"['Many intermediaries rational decisions large purchases', 'Long sales cycles complex negotiations large purchases', 'Few intermediaries rational decisions small purchases']"
What are characteristics of the B2B market?,longer process logic based less customers,"['Longer sales cycles complex decision-making processes fewer customers.', 'Shorter sales cycles simple decision-making processes many customers.', 'High customer loyalty frequent repeat purchases standardized products.', 'Impulse buying emotional decision-making price-sensitive customers.']"
What is market segmentation?,Dividing market based on similar characteristics,"['Dividing a market into smaller groups with similar characteristics.', 'Creating a new product for a specific customer.', 'Analyzing the overall market size.', 'Promoting a product to all consumers.']"
What is mass marketing?,One offering to satisfy most customers,"['Targeting specific customer segments with tailored offerings.', 'Creating a unique offering for each individual customer.', 'Focusing solely on online advertising channels.', 'Concentrating on a niche market with specialized needs.']"
What is a target market?,segment of sufficient size reach and profitability,"['A group of customers a company chooses not to serve.', 'All potential buyers of a product or service.', 'A segment of the market with sufficient size reach and profitability.', 'The geographical area where a company operates.', 'The specific product a company decides to manufacture.']"
What do consumers consider when making a purchase?,needs alternatives best option experience,"['Needs', 'Alternatives', 'Best option', 'Experience', 'All of the above']"
What are the three types of influences on consumers?,social psychological situational,"['cultural economic personal', 'environmental technological societal', 'marketing  governmental  competitive']"
What are psychological influences on customers?,attitudes regarding company,"['Perceived risk', 'Lifestyle and values', 'Learning and memory', 'All of the above']"
What are situational influences on customers?,purchasing environment,"[""The consumer's mood"", ""The consumer's culture"", 'Store atmosphere crowding and displays', ""The consumer's personality"", ""The consumer's family""]"
What are social influences on customers?,reviews of past customers,"['Reference groups and family', 'Cultural norms and values']"
